name,opta_name,position,team,opponent,venue,clean_sheet_prob,predicted_fpl_points,goals,assists,shots,sot,passes,tackles,saves,yellows,avg_bps
Noah Sadiki,N. Sadiki,MID,Sunderland,Fulham,Away,25%,2.43,0.02,0.03,0.38,0.09,36.09,1.8,0.0,0.21,12.272727272727272
Douglas Luiz Soares de Paulo,Douglas Luiz,MID,Nott'm Forest,Liverpool,Away,12%,2.43,0.03,0.05,0.54,0.14,34.75,1.57,0.0,0.2,4.0
Callum Olusesi,C. Olusesi,MID,Spurs,Arsenal,Away,13%,2.43,0.04,0.03,0.54,0.15,30.56,1.97,0.0,0.23,0.0
Yunus Emre Konak,Y. Konak,MID,Brentford,Brighton,Away,20%,2.42,0.03,0.03,0.5,0.12,30.23,2.38,0.0,0.28,0.0
Archie Gray,A. Gray,MID,Spurs,Arsenal,Away,13%,2.41,0.02,0.04,0.24,0.07,35.94,1.96,0.0,0.16,1.5454545454545454
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,João Palhinha,MID,Spurs,Arsenal,Away,13%,2.38,0.03,0.03,0.51,0.13,34.03,2.8,0.0,0.28,18.63636363636364
Freddie Potts,F. Potts,MID,West Ham,Bournemouth,Away,15%,2.37,0.02,0.04,0.37,0.09,32.25,1.92,0.0,0.22,5.363636363636363
André Trindade da Costa Neto,André,MID,Wolves,Crystal Palace,Home,23%,2.37,0.02,0.02,0.39,0.09,38.31,2.01,0.0,0.23,10.363636363636363
Ibrahim Sangaré,I. Sangaré,MID,Nott'm Forest,Liverpool,Away,12%,2.35,0.03,0.03,0.48,0.12,35.94,2.39,0.0,0.27,8.181818181818182
Guido Rodríguez,G. Rodríguez,MID,West Ham,Bournemouth,Away,15%,2.33,0.02,0.03,0.4,0.1,28.3,1.79,0.0,0.21,1.2727272727272727
Soungoutou Magassa,S. Magassa,MID,West Ham,Bournemouth,Away,15%,2.25,0.02,0.02,0.36,0.08,31.77,1.89,0.0,0.26,3.25
Yves Bissouma,Y. Bissouma,MID,Spurs,Arsenal,Away,13%,2.23,0.02,0.02,0.37,0.09,34.16,2.07,0.0,0.27,0.0
